video_id,title,video_type,duration_sec,view_count,like_count,comment_count,published_at,jp_ratio,en_ratio,other_ratio,overseas_total_ratio
eMYGo9C4wDY,SixTONES official【ジェシー発案の神回!?】動物の鳴きまねクイズ！,Shorts,42.0,23055,4499,188,2026-05-08T05:00:41Z,0.99,0.0,0.01,0.01
FpI3M3egk1Y,SixTONES STock📦 倉庫見学会 開催決定!!!!!!,Shorts,46.0,298464,36841,643,2026-05-01T13:00:29Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
jaiezGDixmA,SixTONES official 【真剣にゲームに挑む６人】結果ズル賢さだけが...笑笑,Shorts,52.0,312223,27346,236,2026-04-25T13:01:18Z,0.9897959183673469,0.0,0.01020408163265306,0.01020408163265306
LVqHgVjGUuk,SixTONES official【東北・山形・秋田新幹線🚄全て覚えろ】オレたち記憶力は自信アリ…,Shorts,58.0,351905,35681,466,2026-04-24T05:00:17Z,0.98,0.0,0.02,0.02
FaeUpW5jTNc,SixTONES oﬃcial【寝巻き事情】前夜から準備？？,Shorts,42.0,1041982,51184,391,2026-04-18T13:00:26Z,1.0,0.0,0.0,0.0
O7j4cGCFzDc,SixTONES official【自前パジャマでルームパーティー🎉】シンガポールの最終回,Shorts,52.0,602764,48770,795,2026-04-17T05:00:21Z,0.9797979797979798,0.010101010101010102,0.010101010101010102,0.020202020202020204
7GDtgAQOtRg,SixTONES oﬃcial【料理を上手に撮影する男たち】高級中華です！,Shorts,60.0,469437,39134,339,2026-04-11T13:00:15Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
knMPd7B4WfI,SixTONES official【最後の夜にご褒美メシinシンガポール】ちょうど$300食べましょう!!,Shorts,56.0,554429,47051,744,2026-04-10T05:00:51Z,0.9896907216494846,0.0,0.010309278350515464,0.010309278350515464
W4sJvA9WRm8,SixTONES oﬃcial【実現可能？？？】次回のダンボール人狼は超大型企画!?,Shorts,54.0,636827,42005,331,2026-04-04T13:00:53Z,0.97,0.0,0.03,0.03
CoI3EUMdvqA,SixTONES official【本気のお土産買いました】伝説の企画…ダンボール人狼inシンガポール,Shorts,52.0,546370,45808,513,2026-04-03T05:00:11Z,0.9895833333333334,0.0,0.010416666666666666,0.010416666666666666
z0gMMDmKSeo,#SixTONES 初のスタジアムツアー開催決定!!!!!!,Shorts,60.0,414161,51281,1112,2026-03-29T04:30:21Z,0.9897959183673469,0.01020408163265306,0.0,0.01020408163265306
7TlTsJL9MAI,SixTONES oﬃcial【はじめてのおつかいinシンガポール】巨大フルーツで筋トレ！,Shorts,59.0,525846,40948,279,2026-03-28T13:00:06Z,0.98,0.01,0.01,0.02
