chart_date,rank,previous_rank,chart_in,title,artist,total_points,total_points_raw
2026/05/06,1,42,14,3XL,Number_i,15507,"15,507"
2026/05/06,2,-,2,BANG!!,Snow Man,10531,"10,531"
2026/05/06,3,58,3,WARAiNA,ONE N' ONLY,7351,"7,351"
2026/05/06,4,2,3,風と町,Mrs.GREEN APPLE,6861,"6,861"
2026/05/06,5,-,1,ジューンブライド,SHOW-WA & MATSURI,6455,"6,455"
2026/05/06,6,-,1,アイドルパワー,M!LK,6064,"6,064"
2026/05/06,7,4,12,爆裂愛してる,M!LK,5690,"5,690"
2026/05/06,8,5,27,好きすぎて滅!,M!LK,5302,"5,302"
2026/05/06,9,6,33,IRIS OUT,米津玄師,4893,"4,893"
2026/05/06,10,10,16,lulu.,Mrs.GREEN APPLE,3779,"3,779"
2026/05/06,11,9,17,AIZO,King Gnu,3653,"3,653"
2026/05/06,12,13,42,Blue Jeans,HANA,3408,"3,408"
2026/05/06,13,-,1,催し,大森元貴,3159,"3,159"
2026/05/06,14,43,12,夜の踊り子,サカナクション,2912,"2,912"
2026/05/06,15,7,3,スターダスト,Official髭男dism,2882,"2,882"
2026/05/06,16,11,7,SWIM,BTS,2875,"2,875"
2026/05/06,17,15,4,ラストダンスあなたと,MISIA,2719,"2,719"
2026/05/06,18,25,11,劇薬中毒,=LOVE,2674,"2,674"
2026/05/06,19,18,9,Five,嵐,2515,"2,515"
2026/05/06,20,14,6,2.0,BTS,2474,"2,474"
2026/05/06,21,32,2,あぶく,ヨルシカ,2458,"2,458"
2026/05/06,22,-,1,電撃,めいちゃん,2439,"2,439"
2026/05/06,23,16,6,Bad Girl,HANA,2434,"2,434"
2026/05/06,24,21,44,革命道中,アイナ・ジ・エンド,2366,"2,366"
2026/05/06,25,19,5,エルダーフラワー,Official髭男dism,2234,"2,234"
2026/05/06,26,27,32,JANE DOE,"米津玄師, 宇多田ヒカル",2031,"2,031"
2026/05/06,27,22,2,"What's ""KAZOKU""?",櫻坂46,2006,"2,006"
2026/05/06,28,26,36,カリスマックス,Snow Man,1999,"1,999"
2026/05/06,29,-,1,CELEBRATION,LE SSERAFIM,1963,"1,963"
2026/05/06,30,30,108,ライラック,Mrs.GREEN APPLE,1952,"1,952"
2026/05/06,31,24,15,Again,Mr.Children,1942,"1,942"
2026/05/06,32,91,2,BPM feat. KREVA,Kvi Baba,1924,"1,924"
2026/05/06,33,23,3,飛ぶ時,Vaundy,1859,"1,859"
2026/05/06,34,36,41,Golden,HUNTR/X,1846,"1,846"
2026/05/06,35,28,15,セレナーデ,なとり,1756,"1,756"
2026/05/06,36,35,22,NON STOP,HANA,1724,"1,724"
2026/05/06,37,37,10,ALL IN,HANA,1663,"1,663"
2026/05/06,38,41,15,Cold Night,HANA,1596,"1,596"
2026/05/06,39,44,26,イイじゃん,M!LK,1582,"1,582"
2026/05/06,40,33,4,火種,キタニタツヤ,1571,"1,571"
2026/05/06,41,40,7,BE:FIRST ALL DAY,BE:FIRST,1558,"1,558"
2026/05/06,42,47,48,シルエット,KANA-BOON,1511,"1,511"
2026/05/06,43,-,1,インフル,Number_i,1487,"1,487"
2026/05/06,44,48,67,ダーリン,Mrs.GREEN APPLE,1474,"1,474"
2026/05/06,45,53,7,雪月花,ヤングスキニー,1458,"1,458"
2026/05/06,46,1,5,All 4 U,INI,1401,"1,401"
2026/05/06,47,49,57,ROSE,HANA,1395,"1,395"
2026/05/06,48,45,3,Kind of love,日向坂46,1368,"1,368"
2026/05/06,49,50,2,イデアが溢れて眠れない,Vaundy,1353,"1,353"
2026/05/06,50,-,1,Supa Bro,Number_i,1353,"1,353"
2026/05/06,51,-,1,"You, You",TWS,,
2026/05/06,52,71,247,水平線,back number,,
2026/05/06,53,39,6,Hooligan,BTS,,
2026/05/06,54,55,32,GOOD DAY,Mrs.GREEN APPLE,,
2026/05/06,55,38,7,Body to Body,BTS,,
2026/05/06,56,67,158,ケセラセラ,Mrs.GREEN APPLE,,
2026/05/06,57,-,1,サイケSHOCK,Number_i,,
2026/05/06,58,46,4,ほんまやで☆なんでやねん☆しらんけど,モナキ,,
2026/05/06,59,56,63,怪獣,サカナクション,,
2026/05/06,60,60,249,怪獣の花唄,Vaundy,,
2026/05/06,61,62,18,どうしてもどうしても,back number,,
2026/05/06,62,29,4,サンダルだぜ,SKE48,,
2026/05/06,63,63,29,My Body,HANA,,
2026/05/06,64,-,12,LAVALAVA,Number_i,,
2026/05/06,65,65,185,Soranji,Mrs.GREEN APPLE,,
2026/05/06,66,64,47,Burning Flower,HANA,,
2026/05/06,67,-,1,Fear Nothing,Roselia,,
2026/05/06,68,78,363,高嶺の花子さん,back number,,
2026/05/06,69,66,34,BAD LOVE,HANA,,
2026/05/06,70,68,20,Theater,King & Prince,,
2026/05/06,71,-,1,It's Me,ILLIT,,
2026/05/06,72,76,339,点描の唄 feat.井上苑子,Mrs.GREEN APPLE,,
2026/05/06,73,-,2,ランウェイ,"レディー・ガガ,ドーチー",,
2026/05/06,74,70,10,トンツカタンタン,クレイジーウォウウォ!!,,
2026/05/06,75,77,32,Love so sweet,嵐,,
2026/05/06,76,73,27,ファンファーレ,玉置浩二,,
2026/05/06,77,72,22,ズー,シャキーラ,,
2026/05/06,78,79,25,正解,RADWIMPS,,
2026/05/06,79,74,39,らしさ,Official髭男dism,,
2026/05/06,80,80,58,とくべチュ、して,=LOVE,,
2026/05/06,81,89,326,青と夏,Mrs.GREEN APPLE,,
2026/05/06,82,90,6,ビューティー・アンド・ア・ビート feat.ニッキー・ミナージュ,ジャスティン・ビーバー,,
2026/05/06,83,86,12,幸せ,back number,,
2026/05/06,84,3,2,HAPPY BOUNCE BIRTHDAY,CANDY TUNE,,
2026/05/06,85,87,10,オドロウゼ!,Snow Man,,
2026/05/06,86,84,29,アゲハ蝶,ポルノグラフィティ,,
2026/05/06,87,57,4,ルミナス - Luminous,アイナ・ジ・エンド,,
2026/05/06,88,88,23,ray,BUMP OF CHICKEN,,
2026/05/06,89,82,227,僕のこと,Mrs.GREEN APPLE,,
2026/05/06,90,-,27,TSUNAMI,サザンオールスターズ,,
2026/05/06,91,95,12,いらない,サカナクション,,
2026/05/06,92,-,12,君の恋人になったら,back number,,
2026/05/06,93,-,3,好きすぎて泣く,STU48,,
2026/05/06,94,99,29,恋,back number,,
2026/05/06,95,97,54,クスシキ,Mrs.GREEN APPLE,,
2026/05/06,96,-,129,花束,back number,,
2026/05/06,97,83,32,ラブソングに襲われる,=LOVE,,
2026/05/06,98,-,35,イケナイ太陽,ORANGE RANGE,,
2026/05/06,99,31,53,ブルーアンバー,back number,,
2026/05/06,100,-,8,Honto,sumika,,
