title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
#22 あれ？師匠？？,Regular,2218.0,12912,1242,32,2026-05-06T09:20:00Z,gHDAfB8Lr_g
Travis Japan【東京ディズニーシー】全員でほぼプライベートな夢の国！25周年おめでとうございます。,Regular,1291.0,286802,14618,1609,2026-05-02T12:01:24Z,sWpABuVVXmE
#21 最近観たのは・・・,Regular,1996.0,17039,1362,45,2026-04-30T00:30:26Z,gQNyfdWe90Y
Travis Japan【東京ディズニーシー25周年】しめの運転で夢の国へドライブ🚗目指せ世界のディズニー制覇！,Regular,1287.0,329226,15117,1279,2026-04-25T12:00:01Z,aI9I-0Rli0o
#20 司会進行は？！？！？！,Regular,1981.0,23322,1705,70,2026-04-22T10:07:00Z,0LEp91oviEw
Travis Japan【ひらがじゃん】言葉を作ったらアガリ！ワードセンス爆発の超真剣勝負,Regular,1401.0,151241,11643,1106,2026-04-18T12:01:30Z,l_ftRFZg1gI
#19 最終回はどうなる！？,Regular,1678.0,21518,1447,39,2026-04-15T10:31:00Z,mqpTsCRY2eI
Travis Japan【レスリング コラボ】しずが金メダリスト鏡優翔選手と対決🤼 気合いだ🔥,Regular,1875.0,94960,8639,1643,2026-04-11T12:00:28Z,Gi_iZ6SUgkw
#18 ぜんぶ、,Regular,1574.0,25863,1855,48,2026-04-08T09:22:00Z,VDAtT4ilxco
Travis Japan【馬コスプレ】こっちでも気配斬り！相変わらずのカオス！！てか会場広すぎｗ,Regular,1079.0,232826,13118,1285,2026-04-04T12:01:05Z,bIHeb_vW7f8
Travis Japan  2nd CD SG '陰ニモ日向ニモ'  -Special Teaser-,Regular,97.0,56851,6044,470,2026-04-03T09:00:57Z,gyAGIoqo6j0
【JUST!シン日本遺産premium第２弾】「のえちゃかの２人で開催した“酔いどれ遺産”が復活！メンバー全員で自由に作って！飲んで！大騒ぎ！！」続きはTELASAで,Regular,717.0,144712,8439,394,2026-04-01T23:00:07Z,9r7M0Z_Nsc8
#17 今日はどうなる！？,Regular,2066.0,25963,2040,75,2026-04-01T10:06:00Z,iAYtUor3KhA
Travis Japan【卓球】奥義炸裂で白熱の大混乱！賞品は自分の企画ができる権利！,Regular,1779.0,281327,13431,1576,2026-03-28T12:00:26Z,CThn72A0WPQ
【JUST!シン日本遺産】シーズン２　最終話をちら見せ「下関と門司のシン日本遺産を探す関門海峡編後編！！門司にやってきた２人は、関門海峡について学べる施設でシン日本遺産を探す！！」続きはTELASAで,Regular,736.0,46849,3674,191,2026-03-25T23:00:39Z,UNJDM6ae5CA
#16 多分これまでのエピソードで...,Regular,2046.0,27946,2078,91,2026-03-25T09:42:00Z,U6kePGULgHc
Travis Japan【フットサル】げんたがコーチ❗️汗だくの真剣勝負‼️,Regular,1347.0,260606,14011,2002,2026-03-21T12:01:00Z,WIIwE5YhduI
Travis Japan【フットサル】球技しようぜ！第二弾⚽️　#TravisJapan #トラジャ #フットサル #球技,Regular,66.0,152742,15040,446,2026-03-20T12:01:33Z,lb1lrao4z8Q
Travis Japan - “陰ニモ日向ニモ“ Limited Edition J -Special Movie Teaser-,Regular,93.0,75260,6412,258,2026-03-20T09:00:10Z,7lV7x9WUhcI
【JUST!シン日本遺産】シーズン２　# 23をちら見せ「下関と門司のシン日本遺産を探す関門海峡編開幕！！前編の今回は、下関でフグに関するシン日本遺産を巡る！！」続きはTELASAで,Regular,763.0,48282,3970,227,2026-03-18T23:00:47Z,ZGSt5TNn6A0
#15 まずは鉄板の...,Regular,1723.0,25451,1880,43,2026-03-18T09:36:00Z,dJ_faaSlEiE
Travis Japan【バスケ】しずが真剣レクチャー！ガチで勝負したら不憫多発！？,Regular,1203.0,344697,21593,3099,2026-03-14T12:00:09Z,5x_og9oG0UM
Travis Japan - “陰ニモ日向ニモ“ Limited Edition T -Special Movie Teaser-,Regular,103.0,89582,7393,256,2026-03-13T09:01:05Z,fkosyOkKmIY
【JUST!シン日本遺産】シーズン２　# 22をちら見せ「馬路村編最終回！！隠された5つ目の“辛”日本遺産にシメちゃんが究極の選択を迫られる！！」続きはTELASAで,Regular,727.0,45226,2948,125,2026-03-11T23:00:08Z,5TdQUGuCJCA
#14 シメまちゅペアが！！,Regular,1617.0,24051,1977,55,2026-03-11T09:49:04Z,6Pn8hv0lv78
Travis Japan【ぷよテト】打倒のえる！ガチ対決でまさか!?ダークホース現れ大騒ぎｗ,Regular,1504.0,320758,13090,1433,2026-03-07T12:01:22Z,oxr_8LukPrI
Travis Japan -“陰ニモ日向ニモ“ Fan Club Exclusive Edition - Special Movie Teaser,Regular,111.0,101755,7590,512,2026-03-06T09:01:03Z,d5PbqHFf6d4
【JUST!シン日本遺産】シーズン２　# 21をちら見せ「高知県馬路村中編！！女性なら誰もが一度は経験してみたい？あのシン日本遺産でファンのみんなをうっとりさせちゃうぞ！！」続きはTELASAで,Regular,615.0,41685,3361,201,2026-03-04T23:00:43Z,U13_Acs2qoU
#13 カ・カ・カ・カ・・・,Regular,1403.0,23389,1853,61,2026-03-04T09:15:04Z,cOZZREIfnhQ
Travis Japan【予備校開催 第２弾】げんた大暴走！問題を読むだけなのにぃ～📚,Regular,1455.0,456701,16614,1775,2026-02-28T12:01:05Z,bYy2cEgQcdE
Travis Japan – '陰ニモ日向ニモ' - Performance Video,Regular,190.0,1899440,32743,6983,2026-02-27T10:01:30Z,rQ5_cSaC5_s
【JUST!シン日本遺産】シーズン２　# 20をちら見せ「高知県馬路村名物“ゆず”を使ったシンゆず料理を開発！！」続きはTELASAで,Regular,752.0,50337,3494,300,2026-02-25T23:00:01Z,07Upu4UYQbQ
#12 のえさんとカーニバル師匠♪,Regular,1564.0,22686,1938,64,2026-02-25T09:23:00Z,c1SjDte71ic
Travis Japan【ランキング】メンバーの順位を決めてから内容を考えたら酷いランキングになった!?,Regular,1412.0,528037,17653,1800,2026-02-21T12:00:21Z,BmrvhIHCAHA
【JUST!シン日本遺産】シーズン２　# 19をちら見せ「 “どさんこ”に乗り英雄になるべく向かった先で体験するのはあの伝統武芸！」続きはTELASAで,Regular,730.0,35688,3143,170,2026-02-18T23:01:15Z,yjkTBFVA7pQ
#11 Wカイトが呼び合う時は！？,Regular,1734.0,40251,2655,74,2026-02-18T09:24:01Z,G2pW_c69dZM
Travis Japan – '陰ニモ日向ニモ' Music Video,Regular,179.0,6765743,53774,43465,2026-02-16T09:00:07Z,JAbLbKqZ1RY
Travis Japan【カラオケ対決】｢愛のかたまり｣ガチ熱唱！Happy Valentine’s day💜,Regular,1670.0,813462,25299,2454,2026-02-14T12:00:06Z,1I7rxZUf7cw
【JUST!シン日本遺産】シーズン２　# 18をちら見せ「大雨から一転快晴の函館編 湖で船に乗り込んだ２人はあの魚の漁を体験！」続きはTELASAで,Regular,619.0,35645,3160,120,2026-02-11T23:01:10Z,rJgm0iwBXBw
#10 カイト＆カイト！！,Regular,1302.0,34932,2765,67,2026-02-11T09:44:00Z,_AxIo7SAKf4
Travis Japan【画伯爆誕】2025年 虎Tubeの思い出をイラストで語ろうぜ！,Regular,1201.0,306980,12106,1006,2026-02-07T12:01:23Z,m3EPu2YWsVE
【JUST!シン日本遺産】シーズン２　# 17をちら見せ「大雨の函館編 ハプニングを乗り越えてシン日本遺産に辿り着くことは出来るのか？」続きはTELASAで,Regular,632.0,53512,3520,118,2026-02-04T23:01:07Z,oHbWmyaGOjM
#9 叱咤激励からはじまります笑,Regular,1554.0,40602,2726,85,2026-02-04T09:28:00Z,hNdyfcDITaA
Travis Japan【大喜利】これは誰のボケ？わかるに決まってるじゃん！,Regular,1445.0,263267,11571,1015,2026-01-31T12:00:03Z,1q8iqNvSBdY
【JUST!シン日本遺産】シーズン２　# 16をちら見せ「大人の軽井沢ロケ“アダルザワ”完結&ハプニング必至大雨の函館編始動！！」続きはTELASAで,Regular,618.0,53692,3814,198,2026-01-28T23:00:13Z,57ibx0IUgbQ
#8 メンバーが番組に✉️を送る際も・・・！？,Regular,1235.0,33710,2496,73,2026-01-28T09:25:01Z,Uxsg0HThvb0
Travis Japan【プライベートカラオケ】アルバムが出たからカラオケで歌いまくろうぜい🎤,Regular,2849.0,561460,20428,4091,2026-01-24T12:00:46Z,O2dJ8yM9z4c
【JUST!シン日本遺産premium】「第１弾はシンスポーツ遺産！まくら投げの魅力を体感！！」続きはTELASAで,Regular,730.0,113379,6360,243,2026-01-21T23:15:02Z,ZVAvIKIZviA
【JUST!シン日本遺産】シーズン２　# 15をちら見せ「夜の森で名カメラマン対決！延長戦！」続きはTELASAで,Regular,573.0,27267,2578,84,2026-01-21T23:00:50Z,cfYnT45sZFU
#7 今回も川松ペアがお届け！,Regular,1756.0,30115,2382,83,2026-01-21T09:24:06Z,sYf0e1WD7xc
Travis Japan【桃鉄２ 後編】鉄道王に俺はなる！まったりゆったりプレイ🎮,Regular,5308.0,217570,7796,949,2026-01-17T12:01:52Z,zagxFHnzpNI
【JUST!シン日本遺産】シーズン２　# 14をちら見せ「信州が誇る食の究極 そば」続きはTELASAで,Regular,524.0,58837,3805,147,2026-01-14T23:01:30Z,t3uv3gCK1R8
#6 2026年最初にお届けするのはこのペア！！,Regular,1773.0,43995,3207,109,2026-01-14T09:33:00Z,TXDu0bmz-HA
Travis Japan【桃鉄２ 前編】鉄道王に俺はなる！まったりゆったりプレイ🎮,Regular,4287.0,321839,10322,1308,2026-01-10T12:01:15Z,hGn0vjMRrwY
【JUST!シン日本遺産】シーズン２　# 13をちら見せ「大人の軽井沢ロケ“アダルザワ”」続きはTELASAで,Regular,735.0,89037,6185,230,2026-01-07T23:00:12Z,5kCeyyzMTIY
#5 吉松ペアでお届け！,Regular,1221.0,29263,2326,74,2026-01-07T09:45:05Z,Q5T1Q1f7qIY
Travis Japan【全国プロモーション】「’s travelers」発売記念。密着したら大忙し！？,Regular,1062.0,184024,10700,908,2026-01-03T12:01:07Z,Xy8dfCJ-frQ
Travis Japan【謹賀新年】あけおめ恒例！2026年にやりたいこと大発表🎍,Regular,538.0,210807,13930,1088,2026-01-01T03:00:57Z,ZTUwLCXlZSc
#4 今日から二人体制でお届けします♫,Regular,1161.0,43169,2680,55,2025-12-31T09:15:00Z,aI_JrMqMVfE
Travis Japan【無音ダンス】Disco Babyでついに本領発揮！音がなくてもシンクロ達成！？,Regular,1070.0,518294,18142,1241,2025-12-27T12:01:43Z,t0gVV2V71kY
【JUST!シン日本遺産】シーズン２　# １２をちら見せ「自分の運命がわかる!?予言の池」続きはTELASAで,Regular,504.0,34427,2624,101,2025-12-24T23:00:54Z,lJK5xjfTVSE
Travis Japan - ‘Say I do’ - Dance Practice  -,Regular,386.0,393902,20089,3221,2025-12-24T21:00:07Z,ajs55jJKm4U
#3 「Travis Japan の とらみみ」二人体制はこんな感じ！？,Regular,1314.0,42165,3094,72,2025-12-24T09:10:00Z,KA4C71AFKro
Travis Japan【クリプレ交換会】100円ショップでメンバー必需品のアイテムをプレゼント！,Regular,1248.0,560522,19237,2535,2025-12-20T12:01:11Z,Y2Oyso_qlX8
【JUST!シン日本遺産】シーズン２　# １１をちら見せ、「島根県が誇るスイーツ」続きはTELASAで,Regular,502.0,41789,3100,149,2025-12-17T23:00:20Z,GMMqjhJt-3U
#2「Travis Japan の とらみみ」ってこんな番組！！,Regular,1386.0,49125,3834,78,2025-12-17T10:35:01Z,cq51k6vKQqs
Travis Japan【予備校開催】問題を読むだけなのにパニック！だいきょんこつって何！？,Regular,1454.0,553219,16170,2014,2025-12-13T12:01:44Z,p7lDfENOAOs
【JUST!シン日本遺産】シーズン２　# １０をちら見せ、「しず&まちゅ人生初の座禅修行」続きはTELASAで,Regular,647.0,53750,3838,242,2025-12-10T23:00:01Z,069B97FOwxM
#1 祝！Travis Japanのポッドキャスト番組スタート～番組タイトル決定会議！～,Regular,1260.0,71919,6754,221,2025-12-10T12:15:03Z,7otAy0fLlyM
Travis Japan - 'Welcome To Our Show Tonight' - Dance Practice -,Regular,340.0,558575,21306,3132,2025-12-06T13:15:10Z,DtRVJaQLc5k
Travis Japan【日本事故物件監視協会 再び】うみ参戦！しめまちゅ驚きすぎて、しずが負傷!?,Regular,1415.0,277355,10977,911,2025-12-06T12:00:46Z,KVz_ltpmqBI
【JUST!シン日本遺産】シーズン２　# ９をちら見せ、「ご褒美飯争奪SUP障害物レース」続きはTELASAで,Regular,620.0,59339,3294,145,2025-12-03T23:00:14Z,4TbBd_sMRf0
Travis Japan – 'Welcome To Our Show Tonight' Music Video,Regular,308.0,3450366,33212,14117,2025-12-01T09:00:07Z,LPPZ9ZU2-Zs
Travis Japan【mimi-ni】TJのPodcast番組がスタート！だから滑舌鍛えようと思ったのにｗ,Regular,922.0,218992,11327,997,2025-11-29T12:01:16Z,bCa7nQqqkCk
【JUST!シン日本遺産】シーズン２　# ８をちら見せ、「青森名物が大集結！超極楽温泉宿で青森名物３本勝負！」続きはTELASAで,Regular,585.0,75236,3813,106,2025-11-26T23:00:59Z,cFguOG77DKk
Travis Japan【祝31歳】川島如恵留の超努力家な半生を年表化🤍,Regular,1524.0,426201,16886,1600,2025-11-22T12:00:52Z,R8v2hjft2xc
Travis Japan - 'Would You Like One?' - Dance Practice  -,Regular,234.0,491294,20039,1715,2025-11-21T15:00:50Z,JhjDiPmr8zg
【JUST!シン日本遺産】シーズン２　# ７をちら見せ「乗って！飛んで！回る！青森で航空・科学・宇宙を体感！」トレーニングアクティビティ３本勝負！続きはTELASAで,Regular,701.0,70501,3772,126,2025-11-19T23:00:43Z,TumwW2G087g
Travis Japan  ’s travelers   -Special Teaser-,Regular,115.0,127729,9614,1446,2025-11-19T09:01:08Z,gRI7PYSnvoc
Travis Japan【まちゅのポエム】祝28歳🧡伝説のポエミスト松倉海斗がTJポエムを大査定！才能アリは誰？,Regular,1655.0,310174,12947,1743,2025-11-15T12:00:01Z,0DN_MZLn6bI
