video_id,title,video_type,duration_sec,view_count,like_count,comment_count,published_at,jp_ratio,en_ratio,other_ratio,overseas_total_ratio
gHDAfB8Lr_g,#22 あれ？師匠？？,Regular,2218.0,12953,1245,32,2026-05-06T09:20:00Z,1.0,0.0,0.0,0.0
sWpABuVVXmE,Travis Japan【東京ディズニーシー】全員でほぼプライベートな夢の国！25周年おめでとうございます。,Regular,1291.0,287209,14620,1610,2026-05-02T12:01:24Z,1.0,0.0,0.0,0.0
gQNyfdWe90Y,#21 最近観たのは・・・,Regular,1996.0,17049,1362,45,2026-04-30T00:30:26Z,0.9777777777777777,0.0,0.022222222222222223,0.022222222222222223
aI9I-0Rli0o,Travis Japan【東京ディズニーシー25周年】しめの運転で夢の国へドライブ🚗目指せ世界のディズニー制覇！,Regular,1287.0,329309,15118,1279,2026-04-25T12:00:01Z,0.99,0.01,0.0,0.01
0LEp91oviEw,#20 司会進行は？！？！？！,Regular,1981.0,23327,1705,70,2026-04-22T10:07:00Z,1.0,0.0,0.0,0.0
l_ftRFZg1gI,Travis Japan【ひらがじゃん】言葉を作ったらアガリ！ワードセンス爆発の超真剣勝負,Regular,1401.0,151258,11643,1106,2026-04-18T12:01:30Z,0.99,0.01,0.0,0.01
mqpTsCRY2eI,#19 最終回はどうなる！？,Regular,1678.0,21518,1447,39,2026-04-15T10:31:00Z,0.9444444444444444,0.0,0.05555555555555555,0.05555555555555555
Gi_iZ6SUgkw,Travis Japan【レスリング コラボ】しずが金メダリスト鏡優翔選手と対決🤼 気合いだ🔥,Regular,1875.0,94967,8639,1643,2026-04-11T12:00:28Z,0.97,0.02,0.01,0.03
VDAtT4ilxco,#18 ぜんぶ、,Regular,1574.0,25881,1855,48,2026-04-08T09:22:00Z,1.0,0.0,0.0,0.0
bIHeb_vW7f8,Travis Japan【馬コスプレ】こっちでも気配斬り！相変わらずのカオス！！てか会場広すぎｗ,Regular,1079.0,232835,13119,1285,2026-04-04T12:01:05Z,0.97,0.0,0.03,0.03
gyAGIoqo6j0,Travis Japan  2nd CD SG '陰ニモ日向ニモ'  -Special Teaser-,Regular,97.0,56854,6044,470,2026-04-03T09:00:57Z,0.94,0.02,0.04,0.06
9r7M0Z_Nsc8,【JUST!シン日本遺産premium第２弾】「のえちゃかの２人で開催した“酔いどれ遺産”が復活！メンバー全員で自由に作って！飲んで！大騒ぎ！！」続きはTELASAで,Regular,717.0,144712,8439,394,2026-04-01T23:00:07Z,0.98,0.02,0.0,0.02
iAYtUor3KhA,#17 今日はどうなる！？,Regular,2066.0,25963,2040,75,2026-04-01T10:06:00Z,0.9861111111111112,0.0,0.013888888888888888,0.013888888888888888
CThn72A0WPQ,Travis Japan【卓球】奥義炸裂で白熱の大混乱！賞品は自分の企画ができる権利！,Regular,1779.0,281347,13431,1576,2026-03-28T12:00:26Z,0.9897959183673469,0.0,0.01020408163265306,0.01020408163265306
