title,video_type,duration_sec,view_count,like_count,comment_count,published_at,video_id
Travis Japan【東京ディズニーシー】25周年おめでとうございます。　#TravisJapan #トラジャ #ディズニーシー #ディズニー,Shorts,54.0,116309,13915,323,2026-05-01T12:01:25Z,geRATVF4KPU
消えてないでしょう！笑#TravisJapan #陰ニモ日向ニモ #ニモニモ消えるチャレンジ,Shorts,17.0,177413,12131,278,2026-04-29T11:00:59Z,cp6tZm353Ik
消えたかな？#TravisJapan #陰ニモ日向ニモ #ニモニモ消えるチャレンジ,Shorts,14.0,155836,10466,180,2026-04-28T11:30:52Z,yk295pFpXfI
💛💙🧡#TravisJapan #吉澤閑也 #松田元太 #松倉海斗 #Venue101,Shorts,23.0,184805,11284,181,2026-04-26T11:00:07Z,4bT92l9x03s
❤️💚#TravisJapan #宮近海斗 #中村海人#Venue101,Shorts,24.0,330949,15389,248,2026-04-25T13:01:23Z,hp3wJSDdYrk
Travis Japan【東京ディズニーシー25周年】夢の国へドライブ🚗　#TravisJapan #トラジャ #ディズニーシー #ディズニー,Shorts,59.0,127291,13796,501,2026-04-24T12:01:56Z,y4W9OCAjFTU
🩷🤍#陰ニモ日向ニモ #TravisJapan #七五三掛龍也 #川島如恵留 #Venue101,Shorts,22.0,147736,9944,221,2026-04-24T11:00:33Z,FF5zykvq5pY
Travis Japan ‘陰ニモ日向ニモ’ Premium Night🕺#ニモニモ #PremiumNight いつも応援ありがとう🐯✨#TravisJapan,Shorts,34.0,227392,12349,146,2026-04-23T12:01:45Z,IcPnAQkt1E0
Travis Japan ‘陰ニモ日向ニモ’ Premium Night🕺#ニモニモ #PremiumNight いつも応援ありがとう🐯✨#TravisJapan,Shorts,22.0,141087,8789,118,2026-04-23T12:01:43Z,yRV5c04LnCA
Travis Japan【ひらがじゃん】言葉を作ったらアガリ！　#TravisJapan #トラジャ #ひらがじゃん #ゲーム,Shorts,59.0,115207,11180,403,2026-04-16T15:01:10Z,f_LJDZfxMPg
Machu Fancam📸#松倉海斗 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,Shorts,19.0,193160,9656,166,2026-04-16T11:00:00Z,-rt0tSccWIo
Genta Fancam📸#松田元太 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,Shorts,27.0,232483,10880,232,2026-04-15T11:00:05Z,2LZi8-TNLgU
Shizu Fancam📸#吉澤閑也 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,Shorts,22.0,134153,7864,244,2026-04-14T11:00:12Z,6gLzAhfEokM
Noel Fancam📸#川島如恵留 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,Shorts,22.0,148453,8657,223,2026-04-13T11:00:06Z,180XFoasGbE
Shime Fancam📸#七五三掛龍也 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,Shorts,22.0,161316,9119,101,2026-04-12T03:00:03Z,2tpysZBhFW0
MUSIC FAIR、ありがとうございました！#TravisJapan #陰ニモ日向ニモ #ニモニモ #MUSICFAIR,Shorts,31.0,419534,19504,323,2026-04-11T13:01:07Z,_ukSU1KPy_o
Umi Fancam📸#中村海人 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,Shorts,22.0,147433,9277,106,2026-04-11T10:00:47Z,V2Z4ycGfxJo
Travis Japan【レスリング】金メダリスト鏡優翔選手と対決🤼　#TravisJapan #トラジャ #レスリング #鏡優翔 #浜口京子,Shorts,48.0,117445,10208,477,2026-04-10T12:01:48Z,zRaH2GIYJHs
Chaka Fancam📸#宮近海斗 #TravisJapan #陰ニモ日向ニモ #ニモニモ#DancePerformanceVideo,Shorts,24.0,194774,12659,226,2026-04-08T11:00:23Z,6UJB8gRRB40
#CDTVライブライブ ありがとうございました！⚪️⚪️ #TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,25.0,170112,12296,279,2026-04-06T13:01:18Z,mCg-lXawt28
⚪️📸#TravisJapan #陰ニモ日向ニモ #ニモニモ,Shorts,20.0,92978,8769,129,2026-04-05T08:00:31Z,K9mdeWpAuys
⚪️✨#陰ニモ日向ニモ4.15.2026(Wed) 2nd CD Single Release #TravisJapan,Shorts,17.0,87468,7536,87,2026-04-04T03:00:19Z,LsSspyJdo90
Travis Japan【馬コスプレ】久しぶりの気配斬り！　#TravisJapan #トラジャ #気配斬り #コスプレ,Shorts,60.0,123798,13512,553,2026-04-03T12:00:01Z,-rPUPursyAM
