video_id,title,video_type,duration_sec,view_count,like_count,comment_count,published_at,jp_ratio,en_ratio,other_ratio,overseas_total_ratio
geRATVF4KPU,Travis Japan【東京ディズニーシー】25周年おめでとうございます。　#TravisJapan #トラジャ #ディズニーシー #ディズニー,Shorts,54.0,116365,13919,323,2026-05-01T12:01:25Z,0.99,0.0,0.01,0.01
cp6tZm353Ik,消えてないでしょう！笑#TravisJapan #陰ニモ日向ニモ #ニモニモ消えるチャレンジ,Shorts,17.0,177463,12132,278,2026-04-29T11:00:59Z,1.0,0.0,0.0,0.0
yk295pFpXfI,消えたかな？#TravisJapan #陰ニモ日向ニモ #ニモニモ消えるチャレンジ,Shorts,14.0,155874,10469,180,2026-04-28T11:30:52Z,0.9897959183673469,0.0,0.01020408163265306,0.01020408163265306
4bT92l9x03s,💛💙🧡#TravisJapan #吉澤閑也 #松田元太 #松倉海斗 #Venue101,Shorts,23.0,184847,11286,181,2026-04-26T11:00:07Z,0.9468085106382979,0.0,0.05319148936170213,0.05319148936170213
hp3wJSDdYrk,❤️💚#TravisJapan #宮近海斗 #中村海人#Venue101,Shorts,24.0,330993,15391,248,2026-04-25T13:01:23Z,0.9797979797979798,0.0,0.020202020202020204,0.020202020202020204
y4W9OCAjFTU,Travis Japan【東京ディズニーシー25周年】夢の国へドライブ🚗　#TravisJapan #トラジャ #ディズニーシー #ディズニー,Shorts,59.0,127335,13796,501,2026-04-24T12:01:56Z,0.97,0.01,0.02,0.03
FF5zykvq5pY,🩷🤍#陰ニモ日向ニモ #TravisJapan #七五三掛龍也 #川島如恵留 #Venue101,Shorts,22.0,147767,9945,221,2026-04-24T11:00:33Z,1.0,0.0,0.0,0.0
IcPnAQkt1E0,Travis Japan ‘陰ニモ日向ニモ’ Premium Night🕺#ニモニモ #PremiumNight いつも応援ありがとう🐯✨#TravisJapan,Shorts,34.0,227443,12350,146,2026-04-23T12:01:45Z,0.97,0.0,0.03,0.03
yRV5c04LnCA,Travis Japan ‘陰ニモ日向ニモ’ Premium Night🕺#ニモニモ #PremiumNight いつも応援ありがとう🐯✨#TravisJapan,Shorts,22.0,141123,8790,118,2026-04-23T12:01:43Z,0.9595959595959596,0.010101010101010102,0.030303030303030304,0.04040404040404041
f_LJDZfxMPg,Travis Japan【ひらがじゃん】言葉を作ったらアガリ！　#TravisJapan #トラジャ #ひらがじゃん #ゲーム,Shorts,59.0,115217,11181,403,2026-04-16T15:01:10Z,0.98989898989899,0.010101010101010102,0.0,0.010101010101010102
