title,published_at,view_count,like_count,comment_count,video_id
#22 あれ？師匠？？,2026-05-06T09:20:00Z,12865,1238,32,gHDAfB8Lr_g
Travis Japan【東京ディズニーシー】全員でほぼプライベートな夢の国！25周年おめでとうございます。,2026-05-02T12:01:24Z,286351,14609,1608,sWpABuVVXmE
Travis Japan【東京ディズニーシー】25周年おめでとうございます。　#TravisJapan #トラジャ #ディズニーシー #ディズニー,2026-05-01T12:01:25Z,116264,13915,323,geRATVF4KPU
消えてないでしょう！笑#TravisJapan #陰ニモ日向ニモ #ニモニモ消えるチャレンジ,2026-04-29T11:00:59Z,177382,12131,278,cp6tZm353Ik
#21 最近観たのは・・・,2026-04-30T00:30:26Z,17033,1361,45,gQNyfdWe90Y
消えたかな？#TravisJapan #陰ニモ日向ニモ #ニモニモ消えるチャレンジ,2026-04-28T11:30:52Z,155805,10463,180,yk295pFpXfI
💛💙🧡#TravisJapan #吉澤閑也 #松田元太 #松倉海斗 #Venue101,2026-04-26T11:00:07Z,184774,11284,181,4bT92l9x03s
❤️💚#TravisJapan #宮近海斗 #中村海人#Venue101,2026-04-25T13:01:23Z,330926,15386,248,hp3wJSDdYrk
Travis Japan【東京ディズニーシー25周年】しめの運転で夢の国へドライブ🚗目指せ世界のディズニー制覇！,2026-04-25T12:00:01Z,329142,15116,1278,aI9I-0Rli0o
Travis Japan【東京ディズニーシー25周年】夢の国へドライブ🚗　#TravisJapan #トラジャ #ディズニーシー #ディズニー,2026-04-24T12:01:56Z,127291,13796,501,y4W9OCAjFTU
🩷🤍#陰ニモ日向ニモ #TravisJapan #七五三掛龍也 #川島如恵留 #Venue101,2026-04-24T11:00:33Z,147708,9943,221,FF5zykvq5pY
Travis Japan ‘陰ニモ日向ニモ’ Premium Night🕺#ニモニモ #PremiumNight いつも応援ありがとう🐯✨#TravisJapan,2026-04-23T12:01:45Z,227350,12349,146,IcPnAQkt1E0
Travis Japan ‘陰ニモ日向ニモ’ Premium Night🕺#ニモニモ #PremiumNight いつも応援ありがとう🐯✨#TravisJapan,2026-04-23T12:01:43Z,141087,8789,118,yRV5c04LnCA
#20 司会進行は？！？！？！,2026-04-22T10:07:00Z,23310,1703,70,0LEp91oviEw
Travis Japan【ひらがじゃん】言葉を作ったらアガリ！ワードセンス爆発の超真剣勝負,2026-04-18T12:01:30Z,151186,11642,1106,l_ftRFZg1gI
Travis Japan【ひらがじゃん】言葉を作ったらアガリ！　#TravisJapan #トラジャ #ひらがじゃん #ゲーム,2026-04-16T15:01:10Z,115207,11180,403,f_LJDZfxMPg
Machu Fancam📸#松倉海斗 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,2026-04-16T11:00:00Z,193106,9656,166,-rt0tSccWIo
Genta Fancam📸#松田元太 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,2026-04-15T11:00:05Z,232435,10876,232,2LZi8-TNLgU
#19 最終回はどうなる！？,2026-04-15T10:31:00Z,21516,1447,39,mqpTsCRY2eI
Shizu Fancam📸#吉澤閑也 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,2026-04-14T11:00:12Z,134036,7862,244,6gLzAhfEokM
Noel Fancam📸#川島如恵留 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,2026-04-13T11:00:06Z,148438,8656,223,180XFoasGbE
Shime Fancam📸#七五三掛龍也 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,2026-04-12T03:00:03Z,161297,9118,101,2tpysZBhFW0
MUSIC FAIR、ありがとうございました！#TravisJapan #陰ニモ日向ニモ #ニモニモ #MUSICFAIR,2026-04-11T13:01:07Z,419453,19504,323,_ukSU1KPy_o
Travis Japan【レスリング コラボ】しずが金メダリスト鏡優翔選手と対決🤼 気合いだ🔥,2026-04-11T12:00:28Z,94963,8639,1643,Gi_iZ6SUgkw
Umi Fancam📸#中村海人 #TravisJapan #陰ニモ日向ニモ #ニモニモ  #DancePerformanceVideo,2026-04-11T10:00:47Z,147433,9277,106,V2Z4ycGfxJo
Travis Japan【レスリング】金メダリスト鏡優翔選手と対決🤼　#TravisJapan #トラジャ #レスリング #鏡優翔 #浜口京子,2026-04-10T12:01:48Z,117445,10208,477,zRaH2GIYJHs
Chaka Fancam📸#宮近海斗 #TravisJapan #陰ニモ日向ニモ #ニモニモ#DancePerformanceVideo,2026-04-08T11:00:23Z,194759,12659,226,6UJB8gRRB40
#18 ぜんぶ、,2026-04-08T09:22:00Z,25863,1855,48,VDAtT4ilxco
#CDTVライブライブ ありがとうございました！⚪️⚪️ #TravisJapan #陰ニモ日向ニモ #ニモニモ,2026-04-06T13:01:18Z,170092,12295,279,mCg-lXawt28
⚪️📸#TravisJapan #陰ニモ日向ニモ #ニモニモ,2026-04-05T08:00:31Z,92978,8769,129,K9mdeWpAuys
Travis Japan【馬コスプレ】こっちでも気配斬り！相変わらずのカオス！！てか会場広すぎｗ,2026-04-04T12:01:05Z,232808,13117,1285,bIHeb_vW7f8
⚪️✨#陰ニモ日向ニモ4.15.2026(Wed) 2nd CD Single Release #TravisJapan,2026-04-04T03:00:19Z,87464,7535,87,LsSspyJdo90
Travis Japan【馬コスプレ】久しぶりの気配斬り！　#TravisJapan #トラジャ #気配斬り #コスプレ,2026-04-03T12:00:01Z,123782,13512,553,-rPUPursyAM
ジャケット写真撮影中📸#TravisJapan #陰ニモ日向ニモ,2026-04-03T10:00:32Z,113743,9363,160,I9srtY_GBtc
Travis Japan  2nd CD SG '陰ニモ日向ニモ'  -Special Teaser-,2026-04-03T09:00:57Z,56815,6045,470,gyAGIoqo6j0
Dancing TJ🎶#陰ニモ日向ニモ 4.15.2026(Wed) 2nd CD Single Release#TravisJapan,2026-04-02T08:00:56Z,195870,11716,121,vnL0Zur3dvI
【JUST!シン日本遺産premium第２弾】「のえちゃかの２人で開催した“酔いどれ遺産”が復活！メンバー全員で自由に作って！飲んで！大騒ぎ！！」続きはTELASAで,2026-04-01T23:00:07Z,144712,8439,394,9r7M0Z_Nsc8
#17 今日はどうなる！？,2026-04-01T10:06:00Z,25963,2040,75,iAYtUor3KhA
大阪ありがとう！#吉澤閑也#Shizu #TravisJapan #stravelers #陰ニモ日向ニモ,2026-03-31T11:00:21Z,131000,10045,459,PYugraNn5ew
Travis Japan Concert Tour 2026 's travelersOSAKA-JO HALL Day2⚫️⚪️#TravisJapan #stravelers #陰ニモ日向ニモ,2026-03-29T13:01:06Z,144454,10442,96,y-fKuFviRZg
Travis Japan Concert Tour 2026 's travelersOSAKA-JO HALL Day1⚫️⚪️#TravisJapan #stravelers #陰ニモ日向ニモ,2026-03-29T12:00:31Z,177155,10989,142,ENDbf2-7GMs
Travis Japan【卓球】奥義炸裂で白熱の大混乱！賞品は自分の企画ができる権利！,2026-03-28T12:00:26Z,281301,13431,1576,CThn72A0WPQ
