video_id,title,video_type,duration_sec,view_count,like_count,comment_count,published_at,jp_ratio,en_ratio,other_ratio,overseas_total_ratio
U9Y2q53ykSg,SixTONES【㊗️結成日緊急生配信‼️】めでたく結成11周年です！,Regular,4085.0,923522,45650,825,2026-05-01T13:13:05Z,0.9270833333333334,0.010416666666666666,0.0625,0.07291666666666667
4C53PXa4kEk,SixTONES【東北・秋田・山形新幹線🚄全て覚えろ】オレたち記憶力は自信アリ…,Regular,1200.0,689766,34893,2032,2026-04-24T13:00:06Z,1.0,0.0,0.0,0.0
XyLBroxzjXU,SixTONES【自前パジャマでルームパーティー🎉】シンガポールの最終回,Regular,1429.0,1267883,53958,4354,2026-04-17T13:01:06Z,0.9795918367346939,0.0,0.02040816326530612,0.02040816326530612
RW6XA-8k_AY,SixTONES【最後の夜にご褒美メシinシンガポール】$300食べましょう!!,Regular,2832.0,1245000,41852,3510,2026-04-10T13:01:00Z,0.9897959183673469,0.0,0.01020408163265306,0.01020408163265306
gjT-YvJV1ro,SixTONES【本気のお土産買いました】伝説の企画…ダンボール人狼inシンガポール,Regular,1663.0,1124758,41292,2177,2026-04-03T13:01:15Z,1.0,0.0,0.0,0.0
Vt6SjZKaz9c,SixTONES【巨大フルーツ…その名はジャックフルーツ🥭】はじめてのおつかいinシンガポール,Regular,1217.0,931212,37412,1834,2026-03-27T13:00:46Z,0.9696969696969697,0.010101010101010102,0.020202020202020204,0.030303030303030304
u8LPmw1Z8sk,SixTONES【Universal Studios Singaporeを遊び尽くす！】完全プライベートでごめんなさい 笑,Regular,1744.0,1900522,59977,4352,2026-03-20T13:01:48Z,0.979381443298969,0.010309278350515464,0.010309278350515464,0.020618556701030927
AccdZfrLRK0,SixTONES【シンガポールで美味ランチ】お値段当てなきゃ…🍴,Regular,1372.0,1232787,43297,2355,2026-03-13T14:00:16Z,0.9897959183673469,0.0,0.01020408163265306,0.01020408163265306
OzZmIuZ3dbw,SixTONES – 17th Single「一秒 / Rebellion」nonSTop digeST,Regular,313.0,567888,36786,2363,2026-03-03T13:00:42Z,0.9292929292929293,0.0707070707070707,0.0,0.0707070707070707
sEEGhyfUbEU,SixTONES【ヤバい💦檻なし窓なし動物園】ナイトサファリで猛獣を激写inシンガポール,Regular,1140.0,923429,39133,3095,2026-02-27T13:01:39Z,0.9587628865979382,0.0,0.041237113402061855,0.041237113402061855
IBUAe3v9gjY,SixTONES –「Rebellion」from LIVE TOUR 2026「MILESixTONES」LaLa arena TOKYO-BAY,Regular,150.0,2283013,65199,4928,2026-02-25T13:00:29Z,0.99,0.01,0.0,0.01
IpJtFH90Qvc,SixTONES –「一秒」from LIVE TOUR 2026「MILESixTONES」LaLa arena TOKYO-BAY,Regular,177.0,2003910,70902,4992,2026-02-24T13:00:38Z,1.0,0.0,0.0,0.0
032HOE_iiZs,SixTONES【フラワードームでかくれんぼ】過去最大規模!! in シンガポール,Regular,1200.0,1237057,46498,2902,2026-02-20T13:00:02Z,0.9595959595959596,0.010101010101010102,0.030303030303030304,0.04040404040404041
MLPkxjD2J4k,SixTONES – Rebellion [YouTube ver.],Regular,156.0,14053292,96759,17734,2026-02-13T13:00:07Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
OxcDfA7PU-g,SixTONES – 一秒 [YouTube ver.],Regular,176.0,12646899,110081,23133,2026-02-06T13:00:07Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
BK4o1X5khKU,SixTONES【明日も来たい!!】絶品朝メシinシンガポール,Regular,1147.0,1691512,49870,3161,2026-01-30T13:00:17Z,1.0,0.0,0.0,0.0
RtDfRvCiBEo,SixTONES【俺たちに絆はあるのか!?inシンガポール】6周年記念㊗️超大型企画,Regular,6433.0,3971794,91259,13090,2026-01-23T13:41:31Z,0.98989898989899,0.0,0.010101010101010102,0.010101010101010102
